"ts_code","sub_code","name","ipo_date","issue_date","amount","market_amount","price","pe","limit_amount","funds","ballot"
"001328.SZ","1328.0","登康口腔","20230327.0","20230410","4304.0","3443.0","20.68","34.0","1.7","8.901","0.03"
"001330.SZ","1330.0","博纳影业","20220809.0","20220818","27490.0","24741.0","5.03","22.99","8.2","13.828","0.09"
"001331.SZ","1331.0","胜通能源","20220830.0","20220908","3000.0","2700.0","26.78","19.93","1.2","8.034","0.02"
"001332.SZ","1332.0","锡装股份","20220907.0","20220920","2000.0","2000.0","59.9","21.28","2.0","11.98","0.01"
"001333.SZ","1333.0","光华股份","20221128.0","20221208","3200.0","2880.0","27.76","22.2","1.25","8.883","0.03"
"001335.SZ","1335.0","信凯科技","20250331.0","20250415","2343.0","1875.0","12.8","11.44","0.9","3.0","0.02"
"001336.SZ","1336.0","楚环科技","20220713.0","20220725","2009.0","1808.0","22.96","22.99","0.8","4.613","0.02"
"001337.SZ","1337.0","四川黄金","20230222.0","20230303","6000.0","5400.0","7.09","22.98","1.8","4.254","0.04"
"001338.SZ","1338.0","永顺泰","20221102.0","20221116","12543.0","11289.0","6.82","22.98","3.75","8.555","0.06"
"001339.SZ","1339.0","智微智能","20220804.0","20220815","6175.0","5558.0","16.86","22.99","2.45","10.411","0.03"
"001356.SZ","1356.0","富岭股份","20250114.0","20250123","14733.0","8766.0","5.3","14.17","3.75","7.808","0.04"
"001358.SZ","1358.0","兴欣新材","20231212.0","20231221","2200.0","1760.0","41.0","17.43","0.85","9.02","0.03"
"001359.SZ","1359.0","平安电工","20240315.0","20240328","4638.0","3710.0","17.39","25.88","1.85","8.065","0.04"
"001360.SZ","1360.0","南矿集团","20230329.0","20230410","5100.0","4080.0","15.38","30.15","2.0","7.844","0.03"
"001366.SZ","1366.0","播恩集团","20230222.0","20230307","4035.0","3632.0","9.32","22.97","1.6","3.761","0.03"
"001367.SZ","1367.0","海森药业","20230328.0","20230410","1700.0","1360.0","44.48","29.77","0.65","7.562","0.02"
"001368.SZ","1368.0","通达创智","20230301.0","20230313","2800.0","2520.0","25.13","22.99","1.1","7.036","0.03"
"001373.SZ","1373.0","翔腾新材","20230522.0","20230601","1717.0","1717.0","28.93","31.42","1.7","4.968","0.02"
"001376.SZ","1376.0","百通能源","20231025.0","20231103","4609.0","4148.0","4.56","20.99","1.35","2.102","0.05"
"001378.SZ","1378.0","德冠新材","20231019.0","20231030","3333.0","2489.0","31.68","26.12","1.2","10.56","0.04"
"001379.SZ","1379.0","腾达科技","20240109.0","20240119","5000.0","4000.0","16.98","26.05","2.0","8.49","0.04"
"001380.SZ","1380.0","华纬科技","20230505.0","20230516","3222.0","2578.0","28.84","36.72","1.25","9.292","0.03"
"001382.SZ","1382.0","新亚电缆","20250311.0","20250321","6200.0","4340.0","7.4","18.71","1.85","4.588","0.03"
"001386.SZ","1386.0","马可波罗","20251013.0","20251022","11949.0","7528.0","13.75","14.27","3.2","16.43","0.03"
"001387.SZ","1387.0","雪祺电气","20240102.0","20240111","3419.0","2735.0","15.38","22.53","1.35","5.258","0.03"
"001388.SZ","1388.0","信通电子","20250620.0","20250701","3900.0","2496.0","16.42","20.39","1.2","6.404","0.02"
"001389.SZ","1389.0","广合科技","20240322.0","20240402","4230.0","2665.0","17.43","26.28","1.1","7.373","0.04"
"001390.SZ","1390.0","古麒绒材","20250519.0","20250529","5000.0","4000.0","12.08","14.65","2.0","6.04","0.03"
"001391.SZ","1391.0","国货航","20241219.0","20241230","151935.0","46241.0","2.3","25.99","39.6","34.945","0.17"
"001395.SZ","1395.0","亚联机械","20250116.0","20250127","2181.0","1573.0","19.08","17.08","0.75","4.161","0.02"
"001400.SZ","1400.0","江顺科技","20250415.0","20250424","1500.0","1500.0","37.36","15.32","1.5","5.604","0.01"
"002203.SZ","2203.0","海亮股份","20080103.0","20080116","5500.0","4400.0","11.17","29.99","4400.0","6.1435","0.05"
"002204.SZ","2204.0","华锐铸钢","20080103.0","20080116","5400.0","4320.0","10.78","29.97","4320.0","5.8212","0.07"
"002205.SZ","2205.0","国统股份","20080109.0","20080123","2000.0","1600.0","7.69","43.87","1600.0","1.538","0.02"
"002206.SZ","2206.0","海利得","20080110.0","20080123","3200.0","2560.0","14.69","29.98","2560.0","4.7008","0.04"
"002207.SZ","2207.0","准油股份","20080117.0","20080128","2500.0","2000.0","7.85","29.96","2000.0","1.9625","0.03"
